taxid,rank,rank_taxid,level,name
7190,subphylum,6596,7,Pezizomycotina
7190,class,7147,8,Leotiomycetes
7190,order,7163,9,Helotiales
7190,family,7181,10,Helotiaceae
7190,genus,7190,11,Gremmeniella
7190,species,7190,12,
27959,domain,4,1,Eukaryota
27959,major_clade,6428,2,Opisthokonta
27959,superkingdom,6508,3,Nucletmycea
27959,kingdom,6516,4,Fungi
27959,subkingdom,6593,5,Dikarya
27959,phylum,6594,6,Ascomycota
27959,subphylum,6596,7,Pezizomycotina
27959,class,7420,8,Sordariomycetes
27959,order,7671,9,Xylariales
27959,family,27958,10,Microdochiaceae
27959,genus,27959,11,Microdochium
27959,species,27959,12,
27876,domain,4,1,Eukaryota
27876,major_clade,6428,2,Opisthokonta
27876,superkingdom,6508,3,Nucletmycea
27876,kingdom,6516,4,Fungi
27876,subkingdom,6593,5,Dikarya
27876,phylum,6594,6,Ascomycota
27876,subphylum,6596,7,Pezizomycotina
27876,class,7420,8,Sordariomycetes
27876,order,7464,9,Hypocreales
27876,family,27871,10,Stachybotryaceae
27876,genus,27876,11,Stachybotrys
27876,species,27876,12,
28346,domain,4,1,Eukaryota
28346,major_clade,6428,2,Opisthokonta
28346,superkingdom,6508,3,Nucletmycea
28346,kingdom,6516,4,Fungi
28346,subkingdom,6593,5,Dikarya
28346,phylum,7825,6,Basidiomycota
28346,subphylum,7826,7,Agaricomycotina
28346,class,28343,8,Wallemiomycetes
28346,order,28344,9,Wallemiales
28346,family,28345,10,Incertae Sedis
28346,genus,28346,11,Wallemia
28346,species,28346,12,
27779,domain,4,1,Eukaryota
27779,major_clade,6428,2,Opisthokonta
27779,superkingdom,6508,3,Nucletmycea
27779,kingdom,6516,4,Fungi
27779,subkingdom,6593,5,Dikarya
27779,phylum,6594,6,Ascomycota
27779,subphylum,6596,7,Pezizomycotina
27779,class,7147,8,Leotiomycetes
27779,order,7163,9,Helotiales
27779,family,7208,10,Incertae Sedis
27779,genus,27779,11,uncultured
27779,species,27779,12,
7692,domain,4,1,Eukaryota
7692,major_clade,6428,2,Opisthokonta
7692,superkingdom,6508,3,Nucletmycea
7692,kingdom,6516,4,Fungi
7692,subkingdom,6593,5,Dikarya
7692,phylum,6594,6,Ascomycota
7692,subphylum,6596,7,Pezizomycotina
